date	location	QC_overall_status	sequences
2021-09-21	Brazil	bad	15
2021-09-21	Brazil	good	361
2021-09-21	Brazil	mediocre	16
2021-09-21	Japan	good	526
2021-09-21	Japan	mediocre	1
2021-09-21	South Africa	bad	11
2021-09-21	South Africa	good	63
2021-09-21	South Africa	mediocre	8
2021-09-21	USA	bad	883
2021-09-21	USA	good	8796
2021-09-21	USA	mediocre	1529
2021-09-21	United Kingdom	bad	33
2021-09-21	United Kingdom	good	6247
2021-09-21	United Kingdom	mediocre	273
2021-09-22	Australia	bad	2
2021-09-22	Australia	good	159
2021-09-22	Australia	mediocre	10
2021-09-22	Brazil	bad	26
2021-09-22	Brazil	good	267
2021-09-22	Brazil	mediocre	16
2021-09-22	Japan	good	323
2021-09-22	Japan	mediocre	4
2021-09-22	South Africa	bad	4
2021-09-22	South Africa	good	37
2021-09-22	South Africa	mediocre	12
2021-09-22	USA	bad	585
2021-09-22	USA	good	7026
2021-09-22	USA	mediocre	1096
2021-09-22	United Kingdom	bad	16
2021-09-22	United Kingdom	good	4321
2021-09-22	United Kingdom	mediocre	200
2021-09-23	Australia	bad	2
2021-09-23	Australia	good	175
2021-09-23	Australia	mediocre	21
2021-09-23	Brazil	bad	16
2021-09-23	Brazil	good	227
2021-09-23	Brazil	mediocre	18
2021-09-23	Japan	good	175
2021-09-23	Japan	mediocre	4
2021-09-23	South Africa	bad	20
2021-09-23	South Africa	good	39
2021-09-23	South Africa	mediocre	6
2021-09-23	USA	bad	509
2021-09-23	USA	good	7155
2021-09-23	USA	mediocre	1048
2021-09-23	United Kingdom	bad	114
2021-09-23	United Kingdom	good	5937
2021-09-23	United Kingdom	mediocre	230
2021-09-24	Australia	bad	3
2021-09-24	Australia	good	80
2021-09-24	Australia	mediocre	6
2021-09-24	Brazil	bad	4
2021-09-24	Brazil	good	241
2021-09-24	Brazil	mediocre	6
2021-09-24	Japan	good	314
2021-09-24	Japan	mediocre	3
2021-09-24	South Africa	bad	5
2021-09-24	South Africa	good	11
2021-09-24	South Africa	mediocre	4
2021-09-24	USA	bad	571
2021-09-24	USA	good	7389
2021-09-24	USA	mediocre	1150
2021-09-24	United Kingdom	bad	17
2021-09-24	United Kingdom	good	6467
2021-09-24	United Kingdom	mediocre	211
2021-09-25	Australia	bad	2
2021-09-25	Australia	good	63
2021-09-25	Australia	mediocre	9
2021-09-25	Brazil	bad	2
2021-09-25	Brazil	good	142
2021-09-25	Brazil	mediocre	4
2021-09-25	Japan	bad	2
2021-09-25	Japan	good	175
2021-09-25	South Africa	bad	6
2021-09-25	South Africa	good	21
2021-09-25	USA	bad	269
2021-09-25	USA	good	4261
2021-09-25	USA	mediocre	639
2021-09-25	United Kingdom	bad	7
2021-09-25	United Kingdom	good	3210
2021-09-25	United Kingdom	mediocre	100
2021-09-26	Australia	bad	7
2021-09-26	Australia	good	101
2021-09-26	Australia	mediocre	5
2021-09-26	Brazil	bad	3
2021-09-26	Brazil	good	169
2021-09-26	Brazil	mediocre	11
2021-09-26	Japan	good	56
2021-09-26	Japan	mediocre	3
2021-09-26	South Africa	bad	2
2021-09-26	South Africa	good	16
2021-09-26	South Africa	mediocre	2
2021-09-26	USA	bad	252
2021-09-26	USA	good	3527
2021-09-26	USA	mediocre	538
2021-09-26	United Kingdom	bad	24
2021-09-26	United Kingdom	good	4847
2021-09-26	United Kingdom	mediocre	163
2021-09-27	Australia	bad	2
2021-09-27	Australia	good	118
2021-09-27	Australia	mediocre	13
2021-09-27	Brazil	bad	21
2021-09-27	Brazil	good	817
2021-09-27	Brazil	mediocre	39
2021-09-27	Japan	good	287
2021-09-27	Japan	mediocre	2
2021-09-27	South Africa	bad	16
2021-09-27	South Africa	good	30
2021-09-27	South Africa	mediocre	6
2021-09-27	USA	bad	904
2021-09-27	USA	good	8583
2021-09-27	USA	mediocre	1536
2021-09-27	United Kingdom	bad	18
2021-09-27	United Kingdom	good	7005
2021-09-27	United Kingdom	mediocre	214
2021-09-28	Australia	bad	11
2021-09-28	Australia	good	179
2021-09-28	Australia	mediocre	8
2021-09-28	Brazil	bad	22
2021-09-28	Brazil	good	582
2021-09-28	Brazil	mediocre	35
2021-09-28	Japan	good	177
2021-09-28	South Africa	bad	13
2021-09-28	South Africa	good	47
2021-09-28	South Africa	mediocre	5
2021-09-28	USA	bad	636
2021-09-28	USA	good	8131
2021-09-28	USA	mediocre	1363
2021-09-28	United Kingdom	bad	15
2021-09-28	United Kingdom	good	5101
2021-09-28	United Kingdom	mediocre	178
2021-09-29	Australia	bad	9
2021-09-29	Australia	good	305
2021-09-29	Australia	mediocre	39
2021-09-29	Brazil	bad	25
2021-09-29	Brazil	good	400
2021-09-29	Brazil	mediocre	29
2021-09-29	Japan	good	159
2021-09-29	Japan	mediocre	3
2021-09-29	South Africa	bad	2
2021-09-29	South Africa	good	23
2021-09-29	South Africa	mediocre	3
2021-09-29	USA	bad	648
2021-09-29	USA	good	8302
2021-09-29	USA	mediocre	1392
2021-09-29	United Kingdom	bad	26
2021-09-29	United Kingdom	good	7114
2021-09-29	United Kingdom	mediocre	292
2021-09-30	Australia	bad	19
2021-09-30	Australia	good	179
2021-09-30	Australia	mediocre	12
2021-09-30	Brazil	bad	16
2021-09-30	Brazil	good	303
2021-09-30	Brazil	mediocre	21
2021-09-30	Japan	good	168
2021-09-30	South Africa	bad	6
2021-09-30	South Africa	good	11
2021-09-30	South Africa	mediocre	2
2021-09-30	USA	bad	504
2021-09-30	USA	good	7228
2021-09-30	USA	mediocre	1185
2021-09-30	United Kingdom	bad	35
2021-09-30	United Kingdom	good	5469
2021-09-30	United Kingdom	mediocre	219
2021-10-01	Australia	bad	20
2021-10-01	Australia	good	137
2021-10-01	Australia	mediocre	14
2021-10-01	Brazil	bad	14
2021-10-01	Brazil	good	344
2021-10-01	Brazil	mediocre	18
2021-10-01	Japan	good	161
2021-10-01	Japan	mediocre	2
2021-10-01	South Africa	bad	6
2021-10-01	South Africa	good	20
2021-10-01	USA	bad	481
2021-10-01	USA	good	7413
2021-10-01	USA	mediocre	1144
2021-10-01	United Kingdom	bad	19
2021-10-01	United Kingdom	good	3797
2021-10-01	United Kingdom	mediocre	171
2021-10-02	Australia	bad	14
2021-10-02	Australia	good	113
2021-10-02	Australia	mediocre	13
2021-10-02	Brazil	bad	2
2021-10-02	Brazil	good	188
2021-10-02	Brazil	mediocre	5
2021-10-02	Japan	good	100
2021-10-02	South Africa	bad	3
2021-10-02	South Africa	good	9
2021-10-02	South Africa	mediocre	1
2021-10-02	USA	bad	394
2021-10-02	USA	good	4587
2021-10-02	USA	mediocre	716
2021-10-02	United Kingdom	bad	8
2021-10-02	United Kingdom	good	3609
2021-10-02	United Kingdom	mediocre	118
2021-10-03	Australia	bad	10
2021-10-03	Australia	good	230
2021-10-03	Australia	mediocre	18
2021-10-03	Brazil	bad	4
2021-10-03	Brazil	good	188
2021-10-03	Brazil	mediocre	9
2021-10-03	Japan	good	45
2021-10-03	South Africa	bad	2
2021-10-03	South Africa	good	4
2021-10-03	USA	bad	259
2021-10-03	USA	good	4108
2021-10-03	USA	mediocre	635
2021-10-03	United Kingdom	bad	17
2021-10-03	United Kingdom	good	5021
2021-10-03	United Kingdom	mediocre	162
2021-10-04	Australia	bad	8
2021-10-04	Australia	good	118
2021-10-04	Australia	mediocre	11
2021-10-04	Brazil	bad	17
2021-10-04	Brazil	good	840
2021-10-04	Brazil	mediocre	42
2021-10-04	Japan	good	145
2021-10-04	Japan	mediocre	4
2021-10-04	South Africa	bad	9
2021-10-04	South Africa	good	51
2021-10-04	South Africa	mediocre	6
2021-10-04	USA	bad	743
2021-10-04	USA	good	9106
2021-10-04	USA	mediocre	1502
2021-10-04	United Kingdom	bad	20
2021-10-04	United Kingdom	good	6615
2021-10-04	United Kingdom	mediocre	277
2021-10-05	Australia	bad	5
2021-10-05	Australia	good	115
2021-10-05	Australia	mediocre	15
2021-10-05	Brazil	bad	25
2021-10-05	Brazil	good	559
2021-10-05	Brazil	mediocre	31
2021-10-05	Japan	good	119
2021-10-05	Japan	mediocre	3
2021-10-05	South Africa	bad	7
2021-10-05	South Africa	good	31
2021-10-05	South Africa	mediocre	2
2021-10-05	USA	bad	760
2021-10-05	USA	good	8820
2021-10-05	USA	mediocre	1481
2021-10-05	United Kingdom	bad	17
2021-10-05	United Kingdom	good	5315
2021-10-05	United Kingdom	mediocre	221
2021-10-06	Australia	bad	14
2021-10-06	Australia	good	267
2021-10-06	Australia	mediocre	18
2021-10-06	Brazil	bad	14
2021-10-06	Brazil	good	552
2021-10-06	Brazil	mediocre	23
2021-10-06	Japan	good	123
2021-10-06	Japan	mediocre	7
2021-10-06	South Africa	bad	8
2021-10-06	South Africa	good	36
2021-10-06	South Africa	mediocre	10
2021-10-06	USA	bad	635
2021-10-06	USA	good	8071
2021-10-06	USA	mediocre	1338
2021-10-06	United Kingdom	bad	19
2021-10-06	United Kingdom	good	5317
2021-10-06	United Kingdom	mediocre	207
2021-10-07	Australia	bad	9
2021-10-07	Australia	good	135
2021-10-07	Australia	mediocre	14
2021-10-07	Brazil	bad	10
2021-10-07	Brazil	good	377
2021-10-07	Brazil	mediocre	28
2021-10-07	Japan	good	100
2021-10-07	South Africa	bad	13
2021-10-07	South Africa	good	41
2021-10-07	South Africa	mediocre	3
2021-10-07	USA	bad	551
2021-10-07	USA	good	7433
2021-10-07	USA	mediocre	1301
2021-10-07	United Kingdom	bad	23
2021-10-07	United Kingdom	good	6609
2021-10-07	United Kingdom	mediocre	254
2021-10-08	Australia	bad	13
2021-10-08	Australia	good	157
2021-10-08	Australia	mediocre	14
2021-10-08	Brazil	bad	10
2021-10-08	Brazil	good	349
2021-10-08	Brazil	mediocre	30
2021-10-08	Japan	good	102
2021-10-08	Japan	mediocre	10
2021-10-08	South Africa	bad	11
2021-10-08	South Africa	good	37
2021-10-08	South Africa	mediocre	6
2021-10-08	USA	bad	485
2021-10-08	USA	good	7139
2021-10-08	USA	mediocre	1179
2021-10-08	United Kingdom	bad	14
2021-10-08	United Kingdom	good	5110
2021-10-08	United Kingdom	mediocre	211
2021-10-09	Australia	bad	7
2021-10-09	Australia	good	89
2021-10-09	Australia	mediocre	5
2021-10-09	Brazil	bad	3
2021-10-09	Brazil	good	125
2021-10-09	Brazil	mediocre	6
2021-10-09	Japan	good	81
2021-10-09	Japan	mediocre	2
2021-10-09	South Africa	bad	2
2021-10-09	South Africa	good	15
2021-10-09	South Africa	mediocre	1
2021-10-09	USA	bad	294
2021-10-09	USA	good	4783
2021-10-09	USA	mediocre	816
2021-10-09	United Kingdom	bad	16
2021-10-09	United Kingdom	good	5134
2021-10-09	United Kingdom	mediocre	207
2021-10-10	Australia	bad	4
2021-10-10	Australia	good	204
2021-10-10	Australia	mediocre	20
2021-10-10	Brazil	bad	5
2021-10-10	Brazil	good	136
2021-10-10	Brazil	mediocre	5
2021-10-10	Japan	good	25
2021-10-10	South Africa	bad	2
2021-10-10	South Africa	good	8
2021-10-10	USA	bad	249
2021-10-10	USA	good	4083
2021-10-10	USA	mediocre	636
2021-10-10	United Kingdom	bad	29
2021-10-10	United Kingdom	good	5491
2021-10-10	United Kingdom	mediocre	260
2021-10-11	Australia	bad	13
2021-10-11	Australia	good	204
2021-10-11	Australia	mediocre	8
2021-10-11	Brazil	bad	14
2021-10-11	Brazil	good	432
2021-10-11	Brazil	mediocre	40
2021-10-11	Japan	good	81
2021-10-11	South Africa	bad	18
2021-10-11	South Africa	good	36
2021-10-11	South Africa	mediocre	3
2021-10-11	USA	bad	737
2021-10-11	USA	good	7927
2021-10-11	USA	mediocre	1476
2021-10-11	United Kingdom	bad	40
2021-10-11	United Kingdom	good	5614
2021-10-11	United Kingdom	mediocre	333
2021-10-12	Australia	bad	9
2021-10-12	Australia	good	205
2021-10-12	Australia	mediocre	12
2021-10-12	Brazil	bad	10
2021-10-12	Brazil	good	239
2021-10-12	Brazil	mediocre	17
2021-10-12	Japan	bad	1
2021-10-12	Japan	good	84
2021-10-12	Japan	mediocre	2
2021-10-12	South Africa	bad	16
2021-10-12	South Africa	good	24
2021-10-12	South Africa	mediocre	2
2021-10-12	USA	bad	558
2021-10-12	USA	good	6936
2021-10-12	USA	mediocre	1331
2021-10-12	United Kingdom	bad	96
2021-10-12	United Kingdom	good	6682
2021-10-12	United Kingdom	mediocre	444
2021-10-13	Australia	bad	9
2021-10-13	Australia	good	211
2021-10-13	Australia	mediocre	16
2021-10-13	Brazil	bad	8
2021-10-13	Brazil	good	521
2021-10-13	Brazil	mediocre	44
2021-10-13	Japan	good	61
2021-10-13	Japan	mediocre	1
2021-10-13	South Africa	bad	5
2021-10-13	South Africa	good	32
2021-10-13	South Africa	mediocre	6
2021-10-13	USA	bad	492
2021-10-13	USA	good	6775
2021-10-13	USA	mediocre	1214
2021-10-13	United Kingdom	bad	25
2021-10-13	United Kingdom	good	4840
2021-10-13	United Kingdom	mediocre	438
2021-10-14	Australia	bad	5
2021-10-14	Australia	good	174
2021-10-14	Australia	mediocre	11
2021-10-14	Brazil	bad	15
2021-10-14	Brazil	good	348
2021-10-14	Brazil	mediocre	28
2021-10-14	Japan	good	75
2021-10-14	South Africa	bad	9
2021-10-14	South Africa	good	28
2021-10-14	South Africa	mediocre	3
2021-10-14	USA	bad	589
2021-10-14	USA	good	7235
2021-10-14	USA	mediocre	1393
2021-10-14	United Kingdom	bad	16
2021-10-14	United Kingdom	good	4493
2021-10-14	United Kingdom	mediocre	428
2021-10-15	Australia	bad	5
2021-10-15	Australia	good	137
2021-10-15	Australia	mediocre	7
2021-10-15	Brazil	bad	11
2021-10-15	Brazil	good	300
2021-10-15	Brazil	mediocre	32
2021-10-15	Japan	good	94
2021-10-15	South Africa	bad	8
2021-10-15	South Africa	good	26
2021-10-15	South Africa	mediocre	3
2021-10-15	USA	bad	616
2021-10-15	USA	good	6962
2021-10-15	USA	mediocre	1262
2021-10-15	United Kingdom	bad	21
2021-10-15	United Kingdom	good	4625
2021-10-15	United Kingdom	mediocre	331
2021-10-16	Australia	bad	12
2021-10-16	Australia	good	117
2021-10-16	Australia	mediocre	12
2021-10-16	Brazil	bad	2
2021-10-16	Brazil	good	81
2021-10-16	Brazil	mediocre	6
2021-10-16	Japan	good	54
2021-10-16	South Africa	bad	2
2021-10-16	South Africa	good	8
2021-10-16	South Africa	mediocre	2
2021-10-16	USA	bad	332
2021-10-16	USA	good	3916
2021-10-16	USA	mediocre	715
2021-10-16	United Kingdom	bad	21
2021-10-16	United Kingdom	good	4275
2021-10-16	United Kingdom	mediocre	342
2021-10-17	Australia	bad	7
2021-10-17	Australia	good	104
2021-10-17	Australia	mediocre	16
2021-10-17	Brazil	bad	13
2021-10-17	Brazil	good	132
2021-10-17	Brazil	mediocre	13
2021-10-17	Japan	good	23
2021-10-17	Japan	mediocre	1
2021-10-17	South Africa	bad	2
2021-10-17	South Africa	good	5
2021-10-17	South Africa	mediocre	4
2021-10-17	USA	bad	312
2021-10-17	USA	good	3171
2021-10-17	USA	mediocre	663
2021-10-17	United Kingdom	bad	17
2021-10-17	United Kingdom	good	4315
2021-10-17	United Kingdom	mediocre	285
2021-10-18	Australia	bad	5
2021-10-18	Australia	good	146
2021-10-18	Australia	mediocre	13
2021-10-18	Brazil	bad	36
2021-10-18	Brazil	good	520
2021-10-18	Brazil	mediocre	65
2021-10-18	Japan	good	54
2021-10-18	South Africa	bad	10
2021-10-18	South Africa	good	21
2021-10-18	South Africa	mediocre	3
2021-10-18	USA	bad	716
2021-10-18	USA	good	8143
2021-10-18	USA	mediocre	1579
2021-10-18	United Kingdom	bad	31
2021-10-18	United Kingdom	good	6687
2021-10-18	United Kingdom	mediocre	442
2021-10-19	Australia	bad	11
2021-10-19	Australia	good	177
2021-10-19	Australia	mediocre	14
2021-10-19	Brazil	bad	36
2021-10-19	Brazil	good	440
2021-10-19	Brazil	mediocre	42
2021-10-19	Japan	good	43
2021-10-19	South Africa	bad	6
