date	location	QC_overall_status	sequences
2021-09-13	United Kingdom	good	6142
2021-09-13	United Kingdom	mediocre	316
2021-09-13	Vietnam	good	4
2021-09-14	Australia	bad	25
2021-09-14	Australia	good	216
2021-09-14	Australia	mediocre	28
2021-09-14	Brazil	bad	92
2021-09-14	Brazil	good	509
2021-09-14	Brazil	mediocre	55
2021-09-14	Costa Rica	good	6
2021-09-14	Egypt	good	1
2021-09-14	Japan	good	609
2021-09-14	Japan	mediocre	16
2021-09-14	Panama	good	14
2021-09-14	Panama	mediocre	2
2021-09-14	South Africa	bad	29
2021-09-14	South Africa	good	57
2021-09-14	South Africa	mediocre	9
2021-09-14	Trinidad and Tobago	bad	2
2021-09-14	Trinidad and Tobago	mediocre	1
2021-09-14	USA	bad	780
2021-09-14	USA	good	8784
2021-09-14	USA	mediocre	1583
2021-09-14	United Kingdom	bad	15
2021-09-14	United Kingdom	good	5378
2021-09-14	United Kingdom	mediocre	296
2021-09-15	Australia	bad	2
2021-09-15	Australia	good	159
2021-09-15	Australia	mediocre	10
2021-09-15	Brazil	bad	17
2021-09-15	Brazil	good	397
2021-09-15	Brazil	mediocre	25
2021-09-15	Costa Rica	good	6
2021-09-15	Egypt	good	1
2021-09-15	Japan	bad	3
2021-09-15	Japan	good	644
2021-09-15	Japan	mediocre	22
2021-09-15	Panama	good	9
2021-09-15	Panama	mediocre	1
2021-09-15	South Africa	bad	18
2021-09-15	South Africa	good	65
2021-09-15	South Africa	mediocre	13
2021-09-15	Trinidad and Tobago	bad	5
2021-09-15	USA	bad	764
2021-09-15	USA	good	8195
2021-09-15	USA	mediocre	1526
2021-09-15	United Kingdom	bad	22
2021-09-15	United Kingdom	good	5535
2021-09-15	United Kingdom	mediocre	263
2021-09-16	Australia	bad	6
2021-09-16	Australia	good	132
2021-09-16	Australia	mediocre	10
2021-09-16	Brazil	bad	12
2021-09-16	Brazil	good	288
2021-09-16	Brazil	mediocre	24
2021-09-16	Costa Rica	good	6
2021-09-16	Japan	bad	1
2021-09-16	Japan	good	465
2021-09-16	Japan	mediocre	7
2021-09-16	Panama	bad	3
2021-09-16	Panama	good	4
2021-09-16	Panama	mediocre	2
2021-09-16	South Africa	bad	13
2021-09-16	South Africa	good	43
2021-09-16	South Africa	mediocre	15
2021-09-16	Trinidad and Tobago	bad	5
2021-09-16	Trinidad and Tobago	good	2
2021-09-16	Trinidad and Tobago	mediocre	6
2021-09-16	USA	bad	742
2021-09-16	USA	good	8077
2021-09-16	USA	mediocre	1597
2021-09-16	United Kingdom	bad	29
2021-09-16	United Kingdom	good	6097
2021-09-16	United Kingdom	mediocre	279
2021-09-16	Vietnam	good	1
2021-09-17	Australia	bad	2
2021-09-17	Australia	good	123
2021-09-17	Australia	mediocre	9
2021-09-17	Brazil	bad	13
2021-09-17	Brazil	good	245
2021-09-17	Brazil	mediocre	25
2021-09-17	Costa Rica	good	2
2021-09-17	Japan	bad	3
2021-09-17	Japan	good	431
2021-09-17	Japan	mediocre	8
2021-09-17	Panama	good	5
2021-09-17	Panama	mediocre	12
2021-09-17	South Africa	bad	11
2021-09-17	South Africa	good	47
2021-09-17	South Africa	mediocre	7
2021-09-17	Trinidad and Tobago	bad	4
2021-09-17	Trinidad and Tobago	good	1
2021-09-17	Trinidad and Tobago	mediocre	4
2021-09-17	USA	bad	671
2021-09-17	USA	good	8948
2021-09-17	USA	mediocre	1620
2021-09-17	United Kingdom	bad	12
2021-09-17	United Kingdom	good	5681
2021-09-17	United Kingdom	mediocre	246
2021-09-17	Vietnam	good	5
2021-09-18	Australia	good	84
2021-09-18	Australia	mediocre	6
2021-09-18	Brazil	bad	3
2021-09-18	Brazil	good	124
2021-09-18	Brazil	mediocre	5
2021-09-18	Costa Rica	good	6
2021-09-18	Japan	bad	1
2021-09-18	Japan	good	318
2021-09-18	Japan	mediocre	9
2021-09-18	Panama	good	1
2021-09-18	South Africa	bad	6
2021-09-18	South Africa	good	21
2021-09-18	South Africa	mediocre	3
2021-09-18	Trinidad and Tobago	bad	2
2021-09-18	Trinidad and Tobago	mediocre	1
2021-09-18	USA	bad	364
2021-09-18	USA	good	4826
2021-09-18	USA	mediocre	919
2021-09-18	United Kingdom	bad	13
2021-09-18	United Kingdom	good	4271
2021-09-18	United Kingdom	mediocre	192
2021-09-18	Vietnam	good	4
2021-09-19	Australia	good	81
2021-09-19	Australia	mediocre	6
2021-09-19	Brazil	bad	6
2021-09-19	Brazil	good	144
2021-09-19	Brazil	mediocre	5
2021-09-19	Costa Rica	good	4
2021-09-19	Egypt	bad	1
2021-09-19	Egypt	good	1
2021-09-19	Japan	good	126
2021-09-19	Japan	mediocre	8
2021-09-19	Panama	good	4
2021-09-19	South Africa	bad	3
2021-09-19	South Africa	good	23
2021-09-19	Trinidad and Tobago	bad	1
2021-09-19	USA	bad	257
2021-09-19	USA	good	4302
2021-09-19	USA	mediocre	859
2021-09-19	United Kingdom	bad	47
2021-09-19	United Kingdom	good	5225
2021-09-19	United Kingdom	mediocre	245
2021-09-19	Vietnam	good	10
2021-09-19	Vietnam	mediocre	1
2021-09-20	Australia	bad	4
2021-09-20	Australia	good	113
2021-09-20	Australia	mediocre	22
2021-09-20	Brazil	bad	22
2021-09-20	Brazil	good	578
2021-09-20	Brazil	mediocre	44
2021-09-20	Costa Rica	good	2
2021-09-20	Egypt	bad	2
2021-09-20	Egypt	good	1
2021-09-20	Japan	good	141
2021-09-20	Japan	mediocre	2
2021-09-20	Panama	good	9
2021-09-20	Panama	mediocre	2
2021-09-20	South Africa	bad	22
2021-09-20	South Africa	good	69
2021-09-20	South Africa	mediocre	6
2021-09-20	Trinidad and Tobago	bad	8
2021-09-20	Trinidad and Tobago	mediocre	1
2021-09-20	USA	bad	888
2021-09-20	USA	good	9851
2021-09-20	USA	mediocre	1995
2021-09-20	United Kingdom	bad	15
2021-09-20	United Kingdom	good	5931
2021-09-20	United Kingdom	mediocre	296
2021-09-20	Vietnam	good	3
2021-09-21	Australia	bad	2
2021-09-21	Australia	good	129
2021-09-21	Australia	mediocre	12
2021-09-21	Brazil	bad	15
2021-09-21	Brazil	good	366
2021-09-21	Brazil	mediocre	21
2021-09-21	Costa Rica	good	6
2021-09-21	Costa Rica	mediocre	1
2021-09-21	Egypt	bad	1
2021-09-21	Japan	good	518
2021-09-21	Japan	mediocre	9
2021-09-21	Panama	good	5
2021-09-21	Panama	mediocre	3
2021-09-21	South Africa	bad	11
2021-09-21	South Africa	good	61
2021-09-21	South Africa	mediocre	11
2021-09-21	Trinidad and Tobago	bad	8
2021-09-21	USA	bad	865
2021-09-21	USA	good	8540
2021-09-21	USA	mediocre	1760
2021-09-21	United Kingdom	bad	33
2021-09-21	United Kingdom	good	6209
2021-09-21	United Kingdom	mediocre	312
2021-09-21	Vietnam	good	6
2021-09-22	Australia	bad	2
2021-09-22	Australia	good	160
2021-09-22	Australia	mediocre	10
2021-09-22	Brazil	bad	17
2021-09-22	Brazil	good	283
2021-09-22	Brazil	mediocre	25
2021-09-22	Costa Rica	good	3
2021-09-22	Egypt	bad	2
2021-09-22	Japan	bad	1
2021-09-22	Japan	good	324
2021-09-22	Japan	mediocre	3
2021-09-22	Panama	bad	1
2021-09-22	Panama	good	1
2021-09-22	Panama	mediocre	2
2021-09-22	South Africa	bad	4
2021-09-22	South Africa	good	37
2021-09-22	South Africa	mediocre	12
2021-09-22	Trinidad and Tobago	bad	6
2021-09-22	Trinidad and Tobago	mediocre	2
2021-09-22	USA	bad	595
2021-09-22	USA	good	6794
2021-09-22	USA	mediocre	1299
2021-09-22	United Kingdom	bad	19
2021-09-22	United Kingdom	good	4285
2021-09-22	United Kingdom	mediocre	233
2021-09-22	Vietnam	good	1
2021-09-23	Australia	bad	2
2021-09-23	Australia	good	178
2021-09-23	Australia	mediocre	20
2021-09-23	Brazil	bad	24
2021-09-23	Brazil	good	257
2021-09-23	Brazil	mediocre	22
2021-09-23	Costa Rica	good	3
2021-09-23	Egypt	bad	1
2021-09-23	Egypt	good	1
2021-09-23	Japan	good	169
2021-09-23	Japan	mediocre	11
2021-09-23	Panama	bad	1
2021-09-23	Panama	good	14
2021-09-23	Panama	mediocre	3
2021-09-23	South Africa	bad	20
2021-09-23	South Africa	good	39
2021-09-23	South Africa	mediocre	9
2021-09-23	Trinidad and Tobago	mediocre	1
2021-09-23	USA	bad	541
2021-09-23	USA	good	6938
2021-09-23	USA	mediocre	1272
2021-09-23	United Kingdom	bad	116
2021-09-23	United Kingdom	good	5899
2021-09-23	United Kingdom	mediocre	266
2021-09-23	Vietnam	good	4
2021-09-24	Australia	bad	3
2021-09-24	Australia	good	80
2021-09-24	Australia	mediocre	6
2021-09-24	Brazil	bad	7
2021-09-24	Brazil	good	264
2021-09-24	Brazil	mediocre	13
2021-09-24	Costa Rica	good	8
2021-09-24	Costa Rica	mediocre	1
2021-09-24	Japan	good	303
2021-09-24	Japan	mediocre	15
2021-09-24	Panama	good	6
2021-09-24	Panama	mediocre	2
2021-09-24	South Africa	bad	5
2021-09-24	South Africa	good	11
2021-09-24	South Africa	mediocre	4
2021-09-24	Trinidad and Tobago	bad	3
2021-09-24	USA	bad	617
2021-09-24	USA	good	7211
2021-09-24	USA	mediocre	1339
2021-09-24	United Kingdom	bad	20
2021-09-24	United Kingdom	good	6412
2021-09-24	United Kingdom	mediocre	263
2021-09-24	Vietnam	good	5
2021-09-25	Australia	bad	2
2021-09-25	Australia	good	64
2021-09-25	Australia	mediocre	9
2021-09-25	Brazil	bad	3
2021-09-25	Brazil	good	142
2021-09-25	Brazil	mediocre	6
2021-09-25	Costa Rica	good	1
2021-09-25	Egypt	bad	1
2021-09-25	Japan	bad	2
2021-09-25	Japan	good	171
2021-09-25	Japan	mediocre	6
2021-09-25	Panama	good	4
2021-09-25	Panama	mediocre	2
2021-09-25	South Africa	bad	6
2021-09-25	South Africa	good	21
2021-09-25	Trinidad and Tobago	bad	1
2021-09-25	USA	bad	286
2021-09-25	USA	good	4138
2021-09-25	USA	mediocre	774
2021-09-25	United Kingdom	bad	8
2021-09-25	United Kingdom	good	3178
2021-09-25	United Kingdom	mediocre	131
2021-09-25	Vietnam	good	1
2021-09-26	Australia	bad	7
2021-09-26	Australia	good	101
2021-09-26	Australia	mediocre	5
2021-09-26	Brazil	bad	4
2021-09-26	Brazil	good	167
2021-09-26	Brazil	mediocre	12
2021-09-26	Costa Rica	good	1
2021-09-26	Costa Rica	mediocre	1
2021-09-26	Egypt	bad	2
2021-09-26	Japan	good	56
2021-09-26	Japan	mediocre	3
2021-09-26	Panama	good	5
2021-09-26	Panama	mediocre	1
2021-09-26	South Africa	bad	3
2021-09-26	South Africa	good	15
2021-09-26	South Africa	mediocre	2
2021-09-26	USA	bad	270
2021-09-26	USA	good	3464
2021-09-26	USA	mediocre	642
2021-09-26	United Kingdom	bad	25
2021-09-26	United Kingdom	good	4812
2021-09-26	United Kingdom	mediocre	197
2021-09-26	Vietnam	good	1
2021-09-27	Australia	bad	2
2021-09-27	Australia	good	119
2021-09-27	Australia	mediocre	13
2021-09-27	Brazil	bad	22
2021-09-27	Brazil	good	812
2021-09-27	Brazil	mediocre	51
2021-09-27	Costa Rica	good	5
2021-09-27	Egypt	bad	2
2021-09-27	Japan	good	282
2021-09-27	Japan	mediocre	9
2021-09-27	Panama	good	5
2021-09-27	Panama	mediocre	1
2021-09-27	South Africa	bad	16
2021-09-27	South Africa	good	30
2021-09-27	South Africa	mediocre	7
2021-09-27	Trinidad and Tobago	bad	10
2021-09-27	Trinidad and Tobago	mediocre	1
2021-09-27	USA	bad	947
2021-09-27	USA	good	8365
2021-09-27	USA	mediocre	1772
2021-09-27	United Kingdom	bad	20
2021-09-27	United Kingdom	good	6944
2021-09-27	United Kingdom	mediocre	273
2021-09-27	Vietnam	good	10
2021-09-28	Australia	bad	11
2021-09-28	Australia	good	180
2021-09-28	Australia	mediocre	8
2021-09-28	Brazil	bad	27
2021-09-28	Brazil	good	586
2021-09-28	Brazil	mediocre	39
2021-09-28	Costa Rica	good	9
2021-09-28	Costa Rica	mediocre	1
2021-09-28	Egypt	bad	2
2021-09-28	Japan	bad	1
2021-09-28	Japan	good	174
2021-09-28	Japan	mediocre	5
2021-09-28	Panama	bad	1
2021-09-28	Panama	good	11
2021-09-28	Panama	mediocre	1
2021-09-28	South Africa	bad	15
2021-09-28	South Africa	good	47
2021-09-28	South Africa	mediocre	3
2021-09-28	Trinidad and Tobago	bad	11
2021-09-28	Trinidad and Tobago	mediocre	3
2021-09-28	USA	bad	675
2021-09-28	USA	good	7955
2021-09-28	USA	mediocre	1564
2021-09-28	United Kingdom	bad	15
2021-09-28	United Kingdom	good	5054
2021-09-28	United Kingdom	mediocre	225
2021-09-28	Vietnam	good	4
2021-09-29	Australia	bad	9
2021-09-29	Australia	good	305
2021-09-29	Australia	mediocre	40
2021-09-29	Brazil	bad	11
2021-09-29	Brazil	good	412
2021-09-29	Brazil	mediocre	39
2021-09-29	Costa Rica	good	10
2021-09-29	Egypt	bad	2
2021-09-29	Egypt	good	1
2021-09-29	Egypt	mediocre	1
2021-09-29	Japan	good	155
2021-09-29	Japan	mediocre	8
2021-09-29	Panama	good	3
2021-09-29	Panama	mediocre	2
2021-09-29	South Africa	bad	2
2021-09-29	South Africa	good	23
2021-09-29	South Africa	mediocre	4
2021-09-29	Trinidad and Tobago	bad	4
2021-09-29	Trinidad and Tobago	good	1
2021-09-29	USA	bad	708
2021-09-29	USA	good	8088
2021-09-29	USA	mediocre	1642
2021-09-29	United Kingdom	bad	26
2021-09-29	United Kingdom	good	7040
2021-09-29	United Kingdom	mediocre	366
2021-09-29	Vietnam	good	3
2021-09-29	Vietnam	mediocre	1
2021-09-30	Australia	bad	20
2021-09-30	Australia	good	180
2021-09-30	Australia	mediocre	11
2021-09-30	Brazil	bad	12
2021-09-30	Brazil	good	308
2021-09-30	Brazil	mediocre	26
2021-09-30	Costa Rica	good	5
2021-09-30	Egypt	good	2
2021-09-30	Japan	good	158
2021-09-30	Japan	mediocre	10
2021-09-30	Panama	good	11
2021-09-30	Panama	mediocre	1
2021-09-30	South Africa	bad	6
2021-09-30	South Africa	good	11
2021-09-30	South Africa	mediocre	2
2021-09-30	Trinidad and Tobago	bad	2
2021-09-30	Trinidad and Tobago	mediocre	2
2021-09-30	USA	bad	549
2021-09-30	USA	good	6960
2021-09-30	USA	mediocre	1456
2021-09-30	United Kingdom	bad	38
2021-09-30	United Kingdom	good	5428
2021-09-30	United Kingdom	mediocre	257
2021-09-30	Vietnam	good	6
2021-10-01	Australia	bad	20
2021-10-01	Australia	good	138
2021-10-01	Australia	mediocre	14
2021-10-01	Brazil	bad	15
2021-10-01	Brazil	good	348
2021-10-01	Brazil	mediocre	21
2021-10-01	Costa Rica	good	10
2021-10-01	Japan	good	158
2021-10-01	Japan	mediocre	5
2021-10-01	Panama	good	2
2021-10-01	Panama	mediocre	2
2021-10-01	South Africa	bad	6
2021-10-01	South Africa	good	19
2021-10-01	South Africa	mediocre	1
2021-10-01	Trinidad and Tobago	bad	1
2021-10-01	Trinidad and Tobago	mediocre	2
2021-10-01	USA	bad	541
2021-10-01	USA	good	7169
2021-10-01	USA	mediocre	1367
2021-10-01	United Kingdom	bad	17
2021-10-01	United Kingdom	good	3757
2021-10-01	United Kingdom	mediocre	213
2021-10-01	Vietnam	good	1
2021-10-02	Australia	bad	14
2021-10-02	Australia	good	116
2021-10-02	Australia	mediocre	13
2021-10-02	Brazil	bad	2
2021-10-02	Brazil	good	191
2021-10-02	Brazil	mediocre	6
2021-10-02	Costa Rica	good	2
2021-10-02	Japan	good	96
2021-10-02	Japan	mediocre	4
2021-10-02	South Africa	bad	3
2021-10-02	South Africa	good	9
2021-10-02	South Africa	mediocre	1
2021-10-02	Trinidad and Tobago	bad	3
2021-10-02	Trinidad and Tobago	good	1
2021-10-02	Trinidad and Tobago	mediocre	1
2021-10-02	USA	bad	399
